Time,bankingsystemc-7556d658fb-r6bcv
5,18760
10,18042
15,17727
20,19022
25,19334
30,19334
35,18990
40,18164
45,18816
50,18537
55,18447
60,18769
65,18359
70,18388
75,18185
80,19156
85,18639
90,18400
95,18591
100,170949
105,44628
110,36794
115,36487
120,36021
125,37684
130,35480
135,35390
140,35936
145,36327
150,35740
155,36304
160,35035
165,35177
170,34438
175,34438
180,36631
185,34567
190,34332
195,35247
200,33560
205,35195
210,34495
215,35494
220,40980
225,40980
230,40330
235,41377
240,39636
245,42334
250,40130
255,40041
260,40500
265,39360
270,38970
275,39122
280,39125
285,37043
290,39388
295,38156
300,126247
305,52106
310,49976
315,52003
320,50434
325,50471
330,49216
335,51872
340,49021
345,50839
350,50282
355,51570
360,49617
365,47673
370,48104
375,50864
380,49075
385,48884
390,47206
395,49131
400,49028
405,50328
410,47959
415,50036
420,46793
425,45104
430,18511
435,40601
440,12301
445,13208
450,13681
455,42447
460,12651
465,13131
470,13131
475,13383
480,12487
485,12510
490,12017
495,41483
500,11575
505,56252
510,178183
515,8147
520,7828
525,8189
530,8231
535,8416
540,8352
545,8304
550,8118
555,8106
560,8344
565,8200
570,42494
575,8408
580,7922
585,8571
590,8026
595,9973
600,10260
