Time,bankingsystemrust
5,0.0267
10,0.0267
15,0.0258
20,0.0258
25,0.0254
30,0.0254
35,0.026
40,0.026
45,0.0272
50,0.0272
55,0.0267
60,0.0267
65,0.0274
70,0.0274
75,0.027
80,0.027
85,0.0262
90,0.0262
95,0.0255
100,0.0255
105,0.026
110,0.026
115,0.0279
120,0.0279
125,0.0267
130,0.0267
135,0.0264
140,0.0264
145,0.0264
150,0.0264
155,0.0256
160,0.0256
165,0.0268
170,0.0268
175,0.0265
180,0.0265
185,0.0273
190,0.0273
195,0.0263
200,0.0263
205,0.0242
210,0.0242
215,0.0301
220,0.0301
225,0.0309
230,0.0309
235,0.0314
240,0.0314
245,0.0313
250,0.0313
255,0.0307
260,0.0307
265,0.0318
270,0.0318
275,0.0312
280,0.0312
285,0.0335
290,0.0335
295,0.0311
300,0.0311
305,0.0314
310,0.0314
315,0.03
320,0.03
325,0.0312
330,0.0312
335,0.0312
340,0.0312
345,0.0327
350,0.0327
355,0.0311
360,0.0311
365,0.0312
370,0.0312
375,0.0314
380,0.0314
385,0.0318
390,0.0318
395,0.0302
400,0.0302
405,0.0327
410,0.0327
415,0.0325
420,0.0325
425,0.0333
430,0.0333
435,0.0337
440,0.0337
445,0.0347
450,0.0347
455,0.0339
460,0.0339
465,0.0342
470,0.0342
475,0.0334
480,0.0334
485,0.0342
490,0.0342
495,0.0261
500,0.0261
505,0.0259
510,0.0259
515,0.0271
520,0.0271
525,0.0258
530,0.0258
535,0.0253
540,0.0253
545,0.0263
550,0.0263
555,0.0263
560,0.0263
565,0.0263
570,0.0263
575,0.0269
580,0.0269
585,0.0268
590,0.0268
595,0.0237
600,0.0237
